Region,Crime_Type,Year,Qtr,No_of_Offences,Population_Num,Live_Register_Num,Mean_Disposable_Income,Rent_Rates,CPI_All_Items,CPI_Water_Electricity_Gas,GBP_per_Euro,USD_per_Euro,Sunshine_Hours,Rainfall(mm),At_Risk_of_Poverty_Rate,Consistent_Poverty_Rate,Daily_Internet_Users,Garda’_Num,Marriages_Num,Government_Party,Tobacco_gm_per_capita,Alcohol_ltr_per_capita,Pop_In_Good_Health
Southern,Theft and related offences,2007,1,3191,1112800,66363,46977,931.58,4.9,20.4,0.6802,1.3242,268.4,319.1,16.6,3.8,39,16776,3401,Fianna F‡il,1605,13.2,84
Southern,Theft and related offences,2007,2,2860,1112800,64234,46977,946.77,4.9,20.4,0.6756,1.3419,624.8,248.5,16.6,3.8,39,16776,5558,Fianna F‡il,1605,13.2,84
Southern,Theft and related offences,2007,3,2841,1112800,69407,46977,955.03,4.9,20.4,0.6889,1.3896,542.5,232.8,16.6,3.8,39,16776,8949,Fianna F‡il,1605,13.2,84
Southern,Theft and related offences,2007,4,2872,1112800,68224,46977,947.72,4.9,20.4,0.7206,1.457,196.3,255.5,16.6,3.8,39,16776,4848,Fianna F‡il,1605,13.2,84
Southern,Theft and related offences,2008,1,3114,1144800,79319,45832,931.5,4.1,9.6,0.7749,1.5527,253.3,358.4,14,5.7,44,17799,3228,Fianna F‡il,1439,12.2,84.3
Southern,Theft and related offences,2008,2,3182,1144800,83917,45832,919.07,4.1,9.6,0.7915,1.5553,527,267.8,14,5.7,44,17799,5351,Fianna F‡il,1439,12.2,84.3
Southern,Theft and related offences,2008,3,3064,1144800,98923,45832,900.48,4.1,9.6,0.7992,1.437,364.9,435.5,14,5.7,44,17799,8751,Fianna F‡il,1439,12.2,84.3
Southern,Theft and related offences,2008,4,2825,1144800,110013,45832,887.68,4.1,9.6,0.9045,1.3449,263.2,278.8,14,5.7,44,17799,4857,Fianna F‡il,1439,12.2,84.3
Southern,Theft and related offences,2009,1,3059,1155600,144750,42019,869.78,-4.5,-22,0.9197,1.305,239.2,260,14.7,4,49,17579,3450,Fianna F‡il,1360,11,83.1
Southern,Theft and related offences,2009,2,3083,1155600,162459,42019,848.47,-4.5,-22,0.8567,1.4016,584.6,330.3,14.7,4,49,17579,5432,Fianna F‡il,1360,11,83.1
Southern,Theft and related offences,2009,3,2979,1155600,176334,42019,820.48,-4.5,-22,0.8914,1.4562,472.3,413,14.7,4,49,17579,8047,Fianna F‡il,1360,11,83.1
Southern,Theft and related offences,2009,4,2938,1155600,175046,42019,799.44,-4.5,-22,0.8997,1.4614,245.2,571,14.7,4,49,17579,4698,Fianna F‡il,1360,11,83.1
Southern,Theft and related offences,2010,1,2958,1158800,184968,38492,777.58,-1,1.3,0.9016,1.3569,383.4,264.6,19.9,8.9,54,16544,3372,Fianna F‡il,1226,11.6,82.8
Southern,Theft and related offences,2010,2,2848,1158800,183488,38492,763.99,-1,1.3,0.8277,1.2209,604.3,151.6,19.9,8.9,54,16544,4993,Fianna F‡il,1226,11.6,82.8
Southern,Theft and related offences,2010,3,2995,1158800,188267,38492,764.1,-1,1.3,0.8399,1.3067,470.7,218,19.9,8.9,54,16544,7774,Fianna F‡il,1226,11.6,82.8
Southern,Theft and related offences,2010,4,2735,1158800,180295,38492,754.06,-1,1.3,0.8481,1.322,313.9,270.5,19.9,8.9,54,16544,4455,Fianna F‡il,1226,11.6,82.8
Southern,Theft and related offences,2011,1,3050,1161600,187053,37543,746.57,2.6,9.7,0.8665,1.3999,317,239.2,20.6,9.9,59,16843,3047,Fine Gael,1241,11.7,83.2
Southern,Theft and related offences,2011,2,2784,1161600,184012,37543,740.87,2.6,9.7,0.8875,1.4388,526.4,250.7,20.6,9.9,59,16843,5015,Fine Gael,1241,11.7,83.2
Southern,Theft and related offences,2011,3,2808,1161600,187320,37543,735.4,2.6,9.7,0.8717,1.377,331,206.7,20.6,9.9,59,16843,7532,Fine Gael,1241,11.7,83.2
Southern,Theft and related offences,2011,4,2693,1161600,179669,37543,726.9,2.6,9.7,0.8441,1.3179,178.3,327.5,20.6,9.9,59,16843,4261,Fine Gael,1241,11.7,83.2
